150001,Amirah,Abdullah,Female,amirah.abdullah@student.usm.my,Student123!
150002,Hafiz,Ibrahim,Male,hafiz.ibrahim@student.usm.my,UsmStudent1!
150003,Nurul,Aziz,Female,nurul.aziz@student.usm.my,Welcome123?
150004,Muhammad,Hassan,Male,muhammad.hassan@student.usm.my,Passw0rd!
150005,Siti,Mohamad,Female,siti.mohamad@student.usm.my,Secure456!
150006,Azim,Wong,Male,azim.wong@student.usm.my,Student789!
150007,Fatin,Tan,Female,fatin.tan@student.usm.my,Letmein123!
150008,Aisyah,Lim,Female,aisyah.lim@student.usm.my,Password!
150009,Syahir,Lee,Male,syahir.lee@student.usm.my,UsmStudent2!
150010,Amir,Ng,Male,amir.ng@student.usm.my,Welcome!
